timesteps,reward
2046.0,-1990.0
4092.0,-540.0
6138.0,-691.0
8184.0,-602.0
10230.0,-324.0
12276.0,-52.5
14322.0,-110.0
16368.0,-34.3
18414.0,43.1
20460.0,62.3
22506.0,58.9
24552.0,34.1
26598.0,-155.0
28644.0,124.0
30690.0,112.0
32736.0,60.9
34782.0,134.0
36828.0,134.0
38874.0,123.0
40920.0,134.0
42966.0,173.0
45012.0,141.0
47058.0,152.0
49104.0,201.0
51150.0,210.0
53196.0,150.0
55242.0,176.0
57288.0,180.0
59334.0,219.0
61380.0,157.0
63426.0,185.0
65472.0,210.0
67518.0,228.0
69564.0,223.0
71610.0,138.0
73656.0,231.0
75702.0,222.0
77748.0,260.0
79794.0,270.0
81840.0,252.0
83886.0,274.0
85932.0,263.0
87978.0,260.0
90024.0,273.0
92070.0,283.0
94116.0,280.0
96162.0,286.0
98208.0,318.0
100254.0,311.0
102300.0,300.0
104346.0,328.0
106392.0,319.0
108438.0,333.0
110484.0,334.0
112530.0,347.0
114576.0,344.0
116622.0,299.0
118668.0,344.0
120714.0,355.0
122760.0,351.0
124806.0,351.0
126852.0,357.0
128898.0,362.0
130944.0,356.0
132990.0,353.0
135036.0,338.0
137082.0,365.0
139128.0,363.0
141174.0,359.0
143220.0,368.0
145266.0,377.0
147312.0,372.0
149358.0,385.0
151404.0,354.0
153450.0,382.0
155496.0,387.0
157542.0,383.0
159588.0,385.0
161634.0,379.0
163680.0,391.0
165726.0,391.0
167772.0,397.0
169818.0,383.0
171864.0,394.0
173910.0,379.0
175956.0,400.0
178002.0,401.0
180048.0,400.0
182094.0,393.0
184140.0,397.0
186186.0,411.0
188232.0,401.0
190278.0,398.0
192324.0,410.0
194370.0,413.0
196416.0,404.0
198462.0,403.0
200508.0,420.0
202554.0,413.0
204600.0,418.0
206646.0,401.0
208692.0,421.0
210738.0,385.0
212784.0,380.0
214830.0,415.0
216876.0,423.0
218922.0,428.0
220968.0,417.0
223014.0,418.0
225060.0,429.0
227106.0,429.0
229152.0,426.0
231198.0,395.0
233244.0,392.0
235290.0,432.0
237336.0,434.0
239382.0,343.0
241428.0,398.0
243474.0,380.0
245520.0,433.0
247566.0,398.0
249612.0,392.0
251658.0,348.0
