Start time:2024-01-06 07:38:37.510762
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
action_before_training:[ 2 20 48  1 49 36  1  2  6 58  1  0 16 72  1], Observation:[ 800.        269.10562   388.23218    20.1994     37.696304 2048.
 1273.7114     41.91983     7.67044     4.      ]
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 2         |
|    ep_rew_mean     | -1.89e+03 |
| time/              |           |
|    fps             | 285       |
|    iterations      | 1         |
|    time_elapsed    | 7         |
|    total_timesteps | 2046      |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | -2e+03      |
| time/                   |             |
|    fps                  | 236         |
|    iterations           | 2           |
|    time_elapsed         | 17          |
|    total_timesteps      | 4092        |
| train/                  |             |
|    approx_kl            | 0.011060859 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -45.1       |
|    explained_variance   | -2.03e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 8.2e+06     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.035      |
|    value_loss           | 1.74e+08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | -1.44e+03   |
| time/                   |             |
|    fps                  | 223         |
|    iterations           | 3           |
|    time_elapsed         | 27          |
|    total_timesteps      | 6138        |
| train/                  |             |
|    approx_kl            | 0.010004755 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -45.1       |
|    explained_variance   | -2.35e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.22e+08    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0405     |
|    value_loss           | 4.19e+07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | -1.94e+03   |
| time/                   |             |
|    fps                  | 217         |
|    iterations           | 4           |
|    time_elapsed         | 37          |
|    total_timesteps      | 8184        |
| train/                  |             |
|    approx_kl            | 0.010588121 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -45.1       |
|    explained_variance   | -8.34e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 3.14e+06    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0392     |
|    value_loss           | 2.83e+07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | -994        |
| time/                   |             |
|    fps                  | 214         |
|    iterations           | 5           |
|    time_elapsed         | 47          |
|    total_timesteps      | 10230       |
| train/                  |             |
|    approx_kl            | 0.010369126 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -45.1       |
|    explained_variance   | 1.37e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.85e+06    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0428     |
|    value_loss           | 1.52e+07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | -480        |
| time/                   |             |
|    fps                  | 212         |
|    iterations           | 6           |
|    time_elapsed         | 57          |
|    total_timesteps      | 12276       |
| train/                  |             |
|    approx_kl            | 0.014123287 |
|    clip_fraction        | 0.161       |
|    clip_range           | 0.2         |
|    entropy_loss         | -45         |
|    explained_variance   | 4.77e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 4.55e+07    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0409     |
|    value_loss           | 4.47e+07    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | -787       |
| time/                   |            |
|    fps                  | 210        |
|    iterations           | 7          |
|    time_elapsed         | 67         |
|    total_timesteps      | 14322      |
| train/                  |            |
|    approx_kl            | 0.03855884 |
|    clip_fraction        | 0.409      |
|    clip_range           | 0.2        |
|    entropy_loss         | -45        |
|    explained_variance   | -8.34e-07  |
|    learning_rate        | 0.0003     |
|    loss                 | 1.18e+06   |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0476    |
|    value_loss           | 4.73e+06   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2         |
|    ep_rew_mean          | -81.4     |
| time/                   |           |
|    fps                  | 209       |
|    iterations           | 8         |
|    time_elapsed         | 78        |
|    total_timesteps      | 16368     |
| train/                  |           |
|    approx_kl            | 0.5390755 |
|    clip_fraction        | 0.517     |
|    clip_range           | 0.2       |
|    entropy_loss         | -44.7     |
|    explained_variance   | -1.19e-07 |
|    learning_rate        | 0.0003    |
|    loss                 | 6.49e+06  |
|    n_updates            | 70        |
|    policy_gradient_loss | -0.0138   |
|    value_loss           | 1.34e+07  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | -71.9      |
| time/                   |            |
|    fps                  | 208        |
|    iterations           | 9          |
|    time_elapsed         | 88         |
|    total_timesteps      | 18414      |
| train/                  |            |
|    approx_kl            | 0.19091508 |
|    clip_fraction        | 0.753      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.3      |
|    explained_variance   | 0          |
|    learning_rate        | 0.0003     |
|    loss                 | 4.68e+05   |
|    n_updates            | 80         |
|    policy_gradient_loss | 0.0223     |
|    value_loss           | 9.76e+06   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | -148       |
| time/                   |            |
|    fps                  | 208        |
|    iterations           | 10         |
|    time_elapsed         | 98         |
|    total_timesteps      | 20460      |
| train/                  |            |
|    approx_kl            | 0.05634983 |
|    clip_fraction        | 0.561      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.4      |
|    explained_variance   | -1.67e-06  |
|    learning_rate        | 0.0003     |
|    loss                 | 1.04e+06   |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.0348    |
|    value_loss           | 9.18e+05   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 36.1        |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 11          |
|    time_elapsed         | 108         |
|    total_timesteps      | 22506       |
| train/                  |             |
|    approx_kl            | 0.052958198 |
|    clip_fraction        | 0.519       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44.4       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 1.52e+06    |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0266     |
|    value_loss           | 5.53e+05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 24.6        |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 12          |
|    time_elapsed         | 118         |
|    total_timesteps      | 24552       |
| train/                  |             |
|    approx_kl            | 0.036382534 |
|    clip_fraction        | 0.45        |
|    clip_range           | 0.2         |
|    entropy_loss         | -44.4       |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.29e+05    |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0294     |
|    value_loss           | 1.08e+06    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 63.1       |
| time/                   |            |
|    fps                  | 206        |
|    iterations           | 13         |
|    time_elapsed         | 128        |
|    total_timesteps      | 26598      |
